code_param_id	code_param	method_id	method	bandwidth	max_load
a	(2,2),3	a	SM	144	18
b	(3,2),3	a	SM	217	21
c	(4,2),3	a	SM	263	18
d	(5,2),3	a	SM	269	15
e	(6,2),3	a	SM	315	17
f	(8,2),3	a	SM	331	16
g	(16,2),3	a	SM	458	17
a	(2,2),3	b	BT	174	14
b	(3,2),3	b	BT	265	16
c	(4,2),3	b	BT	329	15
d	(5,2),3	b	BT	327	13
e	(6,2),3	b	BT	402	14
f	(8,2),3	b	BT	437	13
g	(16,2),3	b	BT	588	11
