code_param_id	code_param	method_id	method	bandwidth	max_load
a	(3,3),3	a	SM	406	29
b	(4,3),3	a	SM	467	31
c	(5,3),3	a	SM	489	27
d	(6,3),3	a	SM	542	28
e	(8,3),3	a	SM	540	23
f	(16,3),3	a	SM	647	20
a	(3,3),3	b	BT	527	27
b	(4,3),3	b	BT	599	25
c	(5,3),3	b	BT	623	26
d	(6,3),3	b	BT	703	23
e	(8,3),3	b	BT	690	18
f	(16,3),3	b	BT	788	14
