node 	nodeid	type	typeid	num
0	a	data	a	4
1	b	data	a	4
2	c	data	a	7
3	d	data	a	5
4	e	data	a	5
5	f	data	a	3
6	g	data	a	5
7	h	data	a	5
8	i	data	a	3
9	j	data	a	3
0	a	parity	b	5
1	b	parity	b	1
2	c	parity	b	1
3	d	parity	b	3
4	e	parity	b	2
5	f	parity	b	4
6	g	parity	b	3
7	h	parity	b	2
8	i	parity	b	0
9	j	parity	b	1
