node 	nodeid	type	typeid	num
0	a	data	a	7
1	b	data	a	3
2	c	data	a	5
3	d	data	a	5
4	e	data	a	2
5	f	data	a	4
6	g	data	a	3
7	h	data	a	3
8	i	data	a	6
9	j	data	a	6
0	a	parity	b	1
1	b	parity	b	5
2	c	parity	b	4
3	d	parity	b	2
4	e	parity	b	1
5	f	parity	b	2
6	g	parity	b	2
7	h	parity	b	2
8	i	parity	b	1
9	j	parity	b	2
