code_param_id	code_param	method_id	method  num_nodes	bandwidth	max_load
a   (6,3,3)     a   RDPM        100     440  34971
a   (6,3,3)     b   BWPM        100     148  8934
a   (6,3,3)     c   BTPM        100     104  8937
b   (8,4,2)     a   RDPM        100     525  45803
b   (8,4,2)     b   BWPM        100     216  11061
b   (8,4,2)     c   BTPM        100     128  11064
a   (6,3,3)     a   RDPM        200     237  32533
a   (6,3,3)     b   BWPM        200     119  10960
a   (6,3,3)     c   BTPM        200     71  10963
b   (8,4,2)     a   RDPM        200     262  42918
b   (8,4,2)     b   BWPM        200     135  12308
b   (8,4,2)     c   BTPM        200     77  12309
a   (6,3,3)     a   RDPM        300     151  31650
a   (6,3,3)     b   BWPM        300     97  12069
a   (6,3,3)     c   BTPM        300     55  12074
b   (8,4,2)     a   RDPM        300     199  41948
b   (8,4,2)     b   BWPM        300     101  13251
b   (8,4,2)     c   BTPM        300     57  13251
a   (6,3,3)     a   RDPM        400     128  31307
a   (6,3,3)     b   BWPM        400     79  12517
a   (6,3,3)     c   BTPM        400     48  12521
b   (8,4,2)     a   RDPM        400     148  41479
b   (8,4,2)     b   BWPM        400     86  13827
b   (8,4,2)     c   BTPM        400     46  13828
