node 	nodeid	type	typeid	num
0	a	in	a	9
1	b	in	a	12
2	c	in	a	8
3	d	in	a	6
4	e	in	a	5
5	f	in	a	5
6	g	in	a	3
7	h	in	a	4
8	i	in	a	0
9	j	in	a	2
0	a	out	b	2
1	b	out	b	3
2	c	out	b	5
3	d	out	b	13
4	e	out	b	3
5	f	out	b	7
6	g	out	b	3
7	h	out	b	1
8	i	out	b	7
9	j	out	b	10
