node 	nodeid	type	typeid	num
0	a	data	a	2
1	b	data	a	3
2	c	data	a	3
3	d	data	a	3
4	e	data	a	1
5	f	data	a	0
6	g	data	a	0
7	h	data	a	0
8	i	data	a	0
9	j	data	a	1
0	a	parity	b	0
1	b	parity	b	0
2	c	parity	b	2
3	d	parity	b	10
4	e	parity	b	2
5	f	parity	b	7
6	g	parity	b	3
7	h	parity	b	1
8	i	parity	b	7
9	j	parity	b	9
