code_param	method	bandwidth	max_load	bw_tradeoff	load_improve	re_percent									
(4,2),3	RDRE	4872.6	257.8												
(4,2),3	RDPM	2726.2	127.0												
(4,2),3	BWRE	4342.8	482.2												
(4,2),3	BWPM	489.2	28.4												
(4,2),3	BTRE														
(4,2),3	BTPM														
(4,2),3	BT														
(6,2),3	RDRE	7171.0	298.2												
(6,2),3	RDPM	3061.4	105.6												
(6,2),3	BWRE	6348.0	454.6												
(6,2),3	BWPM	637.8	28.4												
(6,2),3	BTRE														
(6,2),3	BTPM														
(6,2),3	BT														
(8,2),3	RDRE	9487.8	326.6												
(8,2),3	RDPM	3384.4	93.2												
(8,2),3	BWRE	8353.2	426.8												
(8,2),3	BWPM	763.4	25.8												
(8,2),3	BTRE														
(8,2),3	BTPM														
(8,2),3	BT														
(12,2),3	RDRE	14116.0	389.8												
(12,2),3	RDPM	4028.6	79.6												
(12,2),3	BWRE	12369.0	325.2												
(12,2),3	BWPM	1028.0	29.8												
(12,2),3	BTRE														
(12,2),3	BTPM														
(12,2),3	BT														
(16,2),3	RDRE	18769.6	451.6												
(16,2),3	RDPM	4685.0	73.6												
(16,2),3	BWRE	16393.4	423.8												
(16,2),3	BWPM	1269.0	29.2												
(16,2),3	BTRE														
(16,2),3	BTPM														
(16,2),3	BT														
