code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,3),3	a	RDRE	51603.0	1943.0
a	(4,3),3	b	BWRE	46676.666666666664	1764.3333333333333
a	(4,3),3	c	BTRE	46704.333333333336	1581.0
a	(4,3),3	d	RDPM	37590.666666666664	1357.6666666666667
a	(4,3),3	e	BWPM	6608.666666666667	302.6666666666667
a	(4,3),3	f	BTPM	6628.333333333333	243.0
a	(4,3),3	g	BT	6696.333333333333	240.0
b	(6,3),3	a	RDRE	74632.66666666667	2109.0
b	(6,3),3	b	BWRE	66681.33333333333	1910.3333333333333
b	(6,3),3	c	BTRE	66719.33333333333	1645.6666666666667
b	(6,3),3	d	RDPM	41100.666666666664	1069.6666666666667
b	(6,3),3	e	BWPM	8647.0	292.3333333333333
b	(6,3),3	f	BTPM	8679.666666666666	232.0
b	(6,3),3	g	BT	8753.0	226.66666666666666
c	(8,3),3	a	RDRE	97816.33333333333	2288.0
c	(8,3),3	b	BWRE	86692.33333333333	1954.6666666666667
c	(8,3),3	c	BTRE	86741.33333333333	1676.0
c	(8,3),3	d	RDPM	44637.0	923.3333333333334
c	(8,3),3	e	BWPM	9940.666666666666	262.0
c	(8,3),3	f	BTPM	9952.333333333334	201.33333333333334
c	(8,3),3	g	BT	9984.666666666666	200.0
d	(12,3),3	a	RDRE	144006.66666666666	2436.3333333333335
d	(12,3),3	b	BWRE	126746.66666666667	2141.0
d	(12,3),3	c	BTRE	126793.0	1708.6666666666667
d	(12,3),3	d	RDPM	51127.666666666664	758.0
d	(12,3),3	e	BWPM	13584.666666666666	289.6666666666667
d	(12,3),3	f	BTPM	13608.333333333334	193.66666666666666
d	(12,3),3	g	BT	13656.666666666666	192.0
e	(16,3),3	a	RDRE	190298.0	2617.6666666666665
e	(16,3),3	b	BWRE	167013.33333333334	2303.0
e	(16,3),3	c	BTRE	167067.66666666666	1718.0
e	(16,3),3	d	RDPM	57549.333333333336	666.6666666666666
e	(16,3),3	e	BWPM	16354.333333333334	280.3333333333333
e	(16,3),3	f	BTPM	16368.0	175.33333333333334
e	(16,3),3	g	BT	16382.333333333334	175.0
