code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,2),2	a	RDRE	48842.333333333336	2700.0
a	(4,2),2	b	BWRE	45000.0	2415.6666666666665
a	(4,2),2	c	BTRE	45000.0	2273.6666666666665
a	(4,2),2	d	RDPM	26663.0	1412.6666666666667
a	(4,2),2	e	BWPM	430.0	40.333333333333336
a	(4,2),2	f	BTPM	430.6666666666667	28.0
a	(4,2),2	g	BT	436.0	27.666666666666668
b	(6,2),2	a	RDRE	71199.33333333333	2812.0
b	(6,2),2	b	BWRE	65000.333333333336	2633.3333333333335
b	(6,2),2	c	BTRE	65000.333333333336	2368.3333333333335
b	(6,2),2	d	RDPM	29585.333333333332	1131.3333333333333
b	(6,2),2	e	BWPM	1473.6666666666667	90.66666666666667
b	(6,2),2	f	BTPM	1473.6666666666667	60.333333333333336
b	(6,2),2	g	BT	1490.0	60.0
c	(8,2),2	a	RDRE	93636.33333333333	3035.0
c	(8,2),2	b	BWRE	85002.66666666667	2764.0
c	(8,2),2	c	BTRE	85002.66666666667	2428.3333333333335
c	(8,2),2	d	RDPM	32276.333333333332	993.0
c	(8,2),2	e	BWPM	3014.0	146.0
c	(8,2),2	f	BTPM	3014.3333333333335	93.66666666666667
c	(8,2),2	g	BT	3020.6666666666665	93.66666666666667
d	(12,2),2	a	RDRE	138556.0	3243.3333333333335
d	(12,2),2	b	BWRE	125003.66666666667	2956.6666666666665
d	(12,2),2	c	BTRE	125003.66666666667	2507.0
d	(12,2),2	d	RDPM	37553.0	786.3333333333334
d	(12,2),2	e	BWPM	5002.0	162.0
d	(12,2),2	f	BTPM	5004.333333333333	108.0
d	(12,2),2	g	BT	5004.666666666667	108.0
e	(16,2),2	a	RDRE	183588.66666666666	3342.3333333333335
e	(16,2),2	b	BWRE	165009.66666666666	3211.3333333333335
e	(16,2),2	c	BTRE	165020.0	2529.0
e	(16,2),2	d	RDPM	42718.666666666664	689.0
e	(16,2),2	e	BWPM	6694.333333333333	162.0
e	(16,2),2	f	BTPM	6698.333333333333	112.0
e	(16,2),2	g	BT	6697.666666666667	112.0
