code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,4),3	a	RDRE	54670.666666666664	1963.6666666666667
a	(4,4),3	b	BWRE	50011.333333333336	1842.0
a	(4,4),3	c	BTRE	50042.666666666664	1581.3333333333333
a	(4,4),3	d	RDPM	48038.666666666664	1671.3333333333333
a	(4,4),3	e	BWPM	11418.666666666666	492.3333333333333
a	(4,4),3	f	BTPM	11455.0	389.3333333333333
a	(4,4),3	g	BT	11583.0	381.0
b	(6,4),3	a	RDRE	77596.0	2014.0
b	(6,4),3	b	BWRE	70017.0	1875.0
b	(6,4),3	c	BTRE	70040.0	1636.3333333333333
b	(6,4),3	d	RDPM	51534.666666666664	1264.0
b	(6,4),3	e	BWPM	14085.0	472.0
b	(6,4),3	f	BTPM	14124.0	345.3333333333333
b	(6,4),3	g	BT	14227.333333333334	342.3333333333333
c	(8,4),3	a	RDRE	100704.66666666667	2244.6666666666665
c	(8,4),3	b	BWRE	90024.66666666667	1961.0
c	(8,4),3	c	BTRE	90059.0	1670.6666666666667
c	(8,4),3	d	RDPM	55115.333333333336	1082.0
c	(8,4),3	e	BWPM	15788.333333333334	447.0
c	(8,4),3	f	BTPM	15832.666666666666	307.6666666666667
c	(8,4),3	g	BT	15864.333333333334	304.0
d	(12,4),3	a	RDRE	0	0
d	(12,4),3	b	BWRE	0	0
d	(12,4),3	c	BTRE	0	0
d	(12,4),3	d	RDPM	0	0
d	(12,4),3	e	BWPM	0	0
d	(12,4),3	f	BTPM	0	0
d	(12,4),3	g	BT	0	0
e	(16,4),3	a	RDRE	0	0
e	(16,4),3	b	BWRE	0	0
e	(16,4),3	c	BTRE	0	0
e	(16,4),3	d	RDPM	0	0
e	(16,4),3	e	BWPM	0	0
e	(16,4),3	f	BTPM	0	0
e	(16,4),3	g	BT	0	0
