code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,3),2	a	RDRE	50728.0	1602.6666666666667
a	(4,3),2	b	BWRE	45002.666666666664	1414.6666666666667
a	(4,3),2	c	BTRE	45028.666666666664	1233.0
a	(4,3),2	d	RDPM	37748.666666666664	1130.3333333333333
a	(4,3),2	e	BWPM	8663.666666666666	293.3333333333333
a	(4,3),2	f	BTPM	8698.666666666666	256.0
a	(4,3),2	g	BT	8703.333333333334	252.66666666666666
b	(6,3),2	a	RDRE	74151.0	1753.6666666666667
b	(6,3),2	b	BWRE	65006.666666666664	1535.3333333333333
b	(6,3),2	c	BTRE	65037.333333333336	1263.6666666666667
b	(6,3),2	d	RDPM	41611.333333333336	867.3333333333334
b	(6,3),2	e	BWPM	10875.666666666666	256.0
b	(6,3),2	f	BTPM	10904.0	225.66666666666666
b	(6,3),2	g	BT	10939.0	222.66666666666666
c	(8,3),2	a	RDRE	97507.66666666667	1838.6666666666667
c	(8,3),2	b	BWRE	85017.66666666667	1594.3333333333333
c	(8,3),2	c	BTRE	85058.33333333333	1286.0
c	(8,3),2	d	RDPM	45136.333333333336	751.3333333333334
c	(8,3),2	e	BWPM	12559.333333333334	258.6666666666667
c	(8,3),2	f	BTPM	12585.333333333334	199.66666666666666
c	(8,3),2	g	BT	12580.0	199.33333333333334
d	(12,3),2	a	RDRE	144351.33333333334	1946.3333333333333
d	(12,3),2	b	BWRE	125150.0	1804.0
d	(12,3),2	c	BTRE	125223.0	1316.3333333333333
d	(12,3),2	d	RDPM	52256.333333333336	610.3333333333334
d	(12,3),2	e	BWPM	15683.666666666666	244.66666666666666
d	(12,3),2	f	BTPM	15698.666666666666	177.0
d	(12,3),2	g	BT	15755.666666666666	175.33333333333334
e	(16,3),2	a	RDRE	191289.33333333334	2219.3333333333335
e	(16,3),2	b	BWRE	165945.33333333334	1988.6666666666667
e	(16,3),2	c	BTRE	165981.33333333334	1327.6666666666667
e	(16,3),2	d	RDPM	59245.333333333336	555.3333333333334
e	(16,3),2	e	BWPM	19211.333333333332	269.3333333333333
e	(16,3),2	f	BTPM	19233.333333333332	162.0
e	(16,3),2	g	BT	19243.666666666668	161.0
