code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,3),2	a	RDRE	53482.0	2668.3333333333335
a	(4,3),2	b	BWRE	50000.333333333336	2430.0
a	(4,3),2	c	BTRE	50007.0	2277.0
a	(4,3),2	d	RDPM	37236.0	1797.6666666666667
a	(4,3),2	e	BWPM	3746.3333333333335	273.6666666666667
a	(4,3),2	f	BTPM	3752.3333333333335	186.0
a	(4,3),2	g	BT	3810.3333333333335	183.66666666666666
b	(6,3),2	a	RDRE	75814.66666666667	2881.0
b	(6,3),2	b	BWRE	70000.33333333333	2600.0
b	(6,3),2	c	BTRE	70013.66666666667	2345.0
b	(6,3),2	d	RDPM	40455.0	1432.0
b	(6,3),2	e	BWPM	5201.666666666667	282.6666666666667
b	(6,3),2	f	BTPM	5204.333333333333	186.0
b	(6,3),2	g	BT	5227.666666666667	184.66666666666666
c	(8,3),2	a	RDRE	98113.66666666667	2941.0
c	(8,3),2	b	BWRE	90000.0	2783.3333333333335
c	(8,3),2	c	BTRE	90066.33333333333	2409.3333333333335
c	(8,3),2	d	RDPM	43186.333333333336	1237.0
c	(8,3),2	e	BWPM	6492.333333333333	275.3333333333333
c	(8,3),2	f	BTPM	6498.666666666667	187.66666666666666
c	(8,3),2	g	BT	6545.0	185.66666666666666
d	(12,3),2	a	RDRE	143131.33333333334	3178.0
d	(12,3),2	b	BWRE	130003.33333333333	2964.0
d	(12,3),2	c	BTRE	130035.0	2462.0
d	(12,3),2	d	RDPM	48739.0	984.6666666666666
d	(12,3),2	e	BWPM	9198.666666666666	274.6666666666667
d	(12,3),2	f	BTPM	9210.333333333334	184.33333333333334
d	(12,3),2	g	BT	9217.333333333334	184.0
e	(16,3),2	a	RDRE	188059.66666666666	3367.0
e	(16,3),2	b	BWRE	170009.0	3128.6666666666665
e	(16,3),2	c	BTRE	170044.0	2523.3333333333335
e	(16,3),2	d	RDPM	53945.0	852.0
e	(16,3),2	e	BWPM	10987.0	255.66666666666666
e	(16,3),2	f	BTPM	10997.333333333334	170.0
e	(16,3),2	g	BT	11031.0	169.66666666666666
