code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,4),2	a	RDRE	52897.666666666664	1570.3333333333333
a	(4,4),2	b	BWRE	47501.0	1442.3333333333333
a	(4,4),2	c	BTRE	47542.0	1233.0
a	(4,4),2	d	RDPM	47987.0	1327.6666666666667
a	(4,4),2	e	BWPM	14351.333333333334	458.0
a	(4,4),2	f	BTPM	14430.0	405.0
a	(4,4),2	g	BT	14471.0	385.3333333333333
b	(6,4),2	a	RDRE	76290.33333333333	1787.6666666666667
b	(6,4),2	b	BWRE	67505.66666666667	1621.3333333333333
b	(6,4),2	c	BTRE	67547.0	1277.0
b	(6,4),2	d	RDPM	51870.0	1037.3333333333333
b	(6,4),2	e	BWPM	17031.333333333332	427.3333333333333
b	(6,4),2	f	BTPM	17078.666666666668	338.3333333333333
b	(6,4),2	g	BT	17138.333333333332	328.6666666666667
c	(8,4),2	a	RDRE	99823.33333333333	1854.6666666666667
c	(8,4),2	b	BWRE	87520.66666666667	1708.0
c	(8,4),2	c	BTRE	87566.33333333333	1289.0
c	(8,4),2	d	RDPM	55682.333333333336	927.0
c	(8,4),2	e	BWPM	18995.0	384.0
c	(8,4),2	f	BTPM	19017.666666666668	289.3333333333333
c	(8,4),2	g	BT	19068.666666666668	286.0
d	(12,4),2	a	RDRE	146615.66666666666	1951.0
d	(12,4),2	b	BWRE	127628.66666666667	1798.6666666666667
d	(12,4),2	c	BTRE	127719.33333333333	1302.0
d	(12,4),2	d	RDPM	62752.0	708.3333333333334
d	(12,4),2	e	BWPM	21954.0	372.6666666666667
d	(12,4),2	f	BTPM	21983.666666666668	236.0
d	(12,4),2	g	BT	22000.333333333332	234.33333333333334
e	(16,4),2	a	RDRE	0.0	0.0
e	(16,4),2	b	BWRE	0.0	0.0
e	(16,4),2	c	BTRE	0.0	0.0
e	(16,4),2	d	RDPM	0.0	0.0
e	(16,4),2	e	BWPM	0.0	0.0
e	(16,4),2	f	BTPM	0.0	0.0
e	(16,4),2	g	BT	0.0	0.0
