code_param_id	code_param	method_id	method    bandwidth     max_load    max_load_max    max_load_min
a   (6,3,2)     a   RDPM    33234.76    395.04  419     373
a   (6,3,2)     b   BWPM    6429.2      135.0   147     127
a   (6,3,2)     c   BTPM    6430.68     77.6    82      76
b   (6,3,3)     a   RDPM    34902.56    428.16  456     407
b   (6,3,3)     b   BWPM    8963.8      155.48  166     148
b   (6,3,3)     c   BTPM    8968.88     106.2   111     103
c   (6,3,4)     a   RDPM    36539.96    460.28  499     431
c   (6,3,4)     b   BWPM    11117.6     155.28  166     146
c   (6,3,4)     c   BTPM    11134.64    134.6   146     130
d   (10,2,2)    a   RDPM    26693.84 321.08 336 307
d   (10,2,2)    b   BWPM    3804.2 81.04 85 77
d   (10,2,2)    c   BTPM    3804.76 48.6 52 46
e   (10,2,3)    a   RDPM    31262.76 381.8 423 362
e   (10,2,3)    b   BWPM    5732.6 96.76 107 88
e   (10,2,3)    c   BTPM    5738.88 74.64 79 72
f   (10,2,4)    a   RDPM    35542.8 435.44 471 407
f   (10,2,4)    b   BWPM    7615.6 119.84 130 102
f   (10,2,4)    c   BTPM    7623.96 93.72 97 91
g   (16,4,2)    a   RDPM    58271.84 658.24 689 641
g   (16,4,2)    b   BWPM    14215.0 255.68 265 249
g   (16,4,2)    c   BTPM    14232.96 160.4 162 159
h   (16,4,3)    a   RDPM    69200.6 790.68 835 761
h   (16,4,3)    b   BWPM    22673.6 403.4 431 383
h   (16,4,3)    c   BTPM    22705.56 248.64 256 244
i   (16,4,4)    a   RDPM    79081.96 894.64 966 871
i   (16,4,4)    b   BWPM    31361.0 520.36 540 494
i   (16,4,4)    c   BTPM    31398.84 339.28 352 334
