node 	nodeid	type	typeid	num
0	a	data	a	1
1	b	data	a	0
2	c	data	a	1
3	d	data	a	1
4	e	data	a	2
5	f	data	a	2
6	g	data	a	3
7	h	data	a	1
8	i	data	a	0
9	j	data	a	2
0	a	parity	b	8
1	b	parity	b	12
2	c	parity	b	7
3	d	parity	b	5
4	e	parity	b	3
5	f	parity	b	3
6	g	parity	b	0
7	h	parity	b	3
8	i	parity	b	0
9	j	parity	b	0
